hour,Day_of_Week,Main_Street,Nearest_Street,At_Intersection,Light_Conditions,Weather_Condition,Roadway_Surface_Condition,Traffic_Control_Device,Intersection_Type,Type_of_Collision,Number_of_Vehicles_Involved,School_Zone,Work_Zone_Related,Zone_ID,road_key,ADT,AAWDT,match_type
13,SUN,3800 PRINCESS ANNE ROAD,3700 COMMUNITY COLLEGE PLACE,   50 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,3800 PRINCESS ANNE ROAD,20000.0,22000.0,fuzzy
19,WED,4300 HOLLAN RD,SHORELINE DR,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,4300 HOLLAN RD,19000.0,20000.0,fuzzy
17,WED,700 BLOCK LYNNHAVEN MALL LOOP,INTERNATIONAL PARKWAY,   25 Feet From,DARKNESS-ROAD LIGHTED,MIST,WET,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,na,700 BLOCK LYNNHAVEN MALL LOOP,46000.0,50000.0,fuzzy
9,THU,3700 NORTH LANDING RD,3300 INDIAN RIVER RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,125,3700 NORTH LANDING RD,39000.0,42000.0,fuzzy
14,TUE,FIRST COLONIAL RD,WOLFSNARE RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,FIRST COLONIAL RD,36000.0,39000.0,exact
9,TUE,600 NEWTOWN RD,BAKER RD,  125 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,FIXED OBJECT IN ROAD,1,NO,NO,na,600 NEWTOWN RD,39000.0,42000.0,fuzzy
14,WED,3300 HOLLAND RD,GREEN RUN BLVD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,REAR END,3,NO,NO,na,3300 HOLLAND RD,36000.0,38000.0,fuzzy
21,TUE,900 BROAD MEADOWS BL,5500 WESLEYAN DR,Yes,DARKNESS-ROAD LIGHTED,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,900 BROAD MEADOWS BL,30000.0,34000.0,fuzzy
2,THU,1400 LASKIN RD,600 FREMAC DR,Yes,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,OTHER,1,NO,YES,na,1400 LASKIN RD,3000.0,3200.0,fuzzy
12,FRI,900 KEMPSVILLE RD,PROVIDENCE RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,900 KEMPSVILLE RD,39000.0,42000.0,fuzzy
17,MON,2000 INDEPENDENCE BL S,1700 LYNNHAVEN PW,  500 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,3,NO,NO,na,2000 INDEPENDENCE BL S,73000.0,77000.0,fuzzy
18,SAT,800 INDEPENDENCE BL,HONEYGROVE RD,  200 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,328,800 INDEPENDENCE BL,73000.0,77000.0,fuzzy
20,WED,21 1/2 STREET,BALTIC AVE,Yes,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,ANGLE,2,NO,NO,na,21 1/2 STREET,9600.0,10000.0,fuzzy
21,SAT,1400 PACIFIC AV,300 14TH ST,,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,1400 PACIFIC AV,2400.0,2600.0,median_fill
23,FRI,2015 ATLANTIC AV,2100 ATLANTIC AV,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,4,NO,NO,na,2015 ATLANTIC AV,2400.0,2600.0,median_fill
23,FRI,NORTHAMPTON BL,INDEPENDENCE BL,  100 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,NORTHAMPTON BL,30000.0,34000.0,fuzzy
18,THU,1100 BLOCK RED MILL BOULEVARD,HEDGELAWN WAY,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,THREE APPROACHES,ANGLE,2,NO,NO,na,1100 BLOCK RED MILL BOULEVARD,30000.0,34000.0,fuzzy
17,THU,3100 BLOCK SHIPPS CORNER ROAD,HOLLAND ROAD,   50 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,na,3100 BLOCK SHIPPS CORNER ROAD,7400.0,7900.0,fuzzy
16,FRI,2100 LONDON BRIDGE RD,2400 CASTLETON COMMERCE WY,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,2100 LONDON BRIDGE RD,33000.0,35000.0,fuzzy
20,FRI,2640 NORTH LANDING RD,2600 WEST NECK RD,00.25 Miles From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,2640 NORTH LANDING RD,39000.0,42000.0,fuzzy
22,FRI,DIAMOND SPRING ROAD,TRAPPINGS WYND,Yes,DARKNESS-ROAD LIGHTED,MIST,WET,YES-WORKING,THREE APPROACHES,FIXED OBJECT-OFF ROAD,1,NO,NO,na,DIAMOND SPRING ROAD,22000.0,23000.0,fuzzy
11,TUE,4100 PRINCESS ANNE RD,2000 LYNNHAVEN PW,  200 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,4100 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
5,TUE,5700 ARROWHEAD DR,5700 PRINCESS ANNE RD,  230 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,NON-COLLISION,2,NO,NO,na,5700 ARROWHEAD DR,1900.0,2100.0,fuzzy
12,THU,2000 BLK LYNNHAVEN PKWY,4200 BLK PRINCESS ANNE RD,  200 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,3,NO,NO,na,2000 BLK LYNNHAVEN PKWY,46000.0,50000.0,fuzzy
13,FRI,4600 FERRELL PARKWAY,SALEM ROAD,  900 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,4600 FERRELL PARKWAY,43000.0,47000.0,fuzzy
18,FRI,698 KEMPSVILLE RD,5200 PROVIDENCE RD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,422,698 KEMPSVILLE RD,39000.0,42000.0,fuzzy
11,WED,928 SUNNYSIDE DR,FALLON DR,   10 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,ANGLE,2,NO,NO,na,928 SUNNYSIDE DR,9400.0,10000.0,fuzzy
0,SUN,929 LORD DUNMORE DR,5400 CHATHAM LAKE DR,  100 Feet From,DARKNESS-ROAD LIGHTED,RAIN,WET,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,REAR END,2,NO,NO,na,929 LORD DUNMORE DR,20000.0,21000.0,fuzzy
18,FRI,3400 HOLLAND RD,800 NORTHWOOD DR,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,3400 HOLLAND RD,36000.0,38000.0,fuzzy
6,MON,1500 INDIAN LAKES BL,5000 FERRELL PW,Yes,DAYLIGHT,RAIN,WET,YES-WORKING AND OBSCURED,FOUR APPROACHES,REAR END,2,NO,NO,na,1500 INDIAN LAKES BL,12000.0,13000.0,fuzzy
16,TUE,1800 N GREAT NECK RD,2600 WIMBLEDON POINT DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,3,NO,NO,na,1800 N GREAT NECK RD,39000.0,42000.0,fuzzy
10,FRI,604 PRINCESS ANNE RD,ENTRANCE TO REDHEAD BAY CAFE,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,REAR END,2,NO,NO,na,604 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
5,THU,1700 LYNNHAVEN PW,1900 INDEPENDENCE BL S,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),NATURAL DEBRIS,YES-WORKING,FOUR APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,1700 LYNNHAVEN PW,46000.0,50000.0,fuzzy
23,WED,738 DRISKILL CT,5000 OLD PROVIDENCE RD,  828 Feet From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,738 DRISKILL CT,210.0,230.0,fuzzy
20,SUN,3600 BLOCK HOLLAND ROAD,CHANTRY DRIVE,   20 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,3600 BLOCK HOLLAND ROAD,36000.0,38000.0,fuzzy
3,SUN,5300 SHORE,HELICOPTER RD,  200 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,SIDESWIPE-SAME DIRECTION,2,NO,NO,220,5300 SHORE,2400.0,2600.0,median_fill
14,TUE,1900 INDEPENDENCE BLVD S,DAHLIA DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,1900 INDEPENDENCE BLVD S,73000.0,77000.0,fuzzy
17,MON,1500 INDEPENDENCE BLVD S,GREEN MEADOWS DR,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,1500 INDEPENDENCE BLVD S,73000.0,77000.0,fuzzy
4,FRI,5800 NORTHAMPTON BL,BURTON STATION RD,Yes,DAWN,SEVERE CROSSWINDS,DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,329,5800 NORTHAMPTON BL,30000.0,34000.0,fuzzy
1,SAT,5100 VIRGINIA BEACH BL,300 WITCHDUCK RD N,Yes,DARKNESS-ROAD LIGHTED,MIST,WET,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,321,5100 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
7,TUE,4500 SHOE DR,GREENWELL RD,60.00 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,ANGLE,0,NO,NO,na,4500 SHOE DR,5000.0,5400.0,fuzzy
11,SUN,WITCHDUCK RD N,VIRGINIA BEACH BLVD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,0,NO,NO,na,WITCHDUCK RD N,5100.0,5600.0,fuzzy
1,SAT,5140 HALIFAX DR,5100 CLIFFONY DR, 1.00 Miles From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,5140 HALIFAX DR,9400.0,10000.0,fuzzy
14,FRI,600 BLOCK S ROSEMONT RD,FOREST GLENN RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,YES-WITH SCHOOL ACTIVITY,NO,na,600 BLOCK S ROSEMONT RD,30000.0,32000.0,fuzzy
9,WED,1400 INDEPENDENCE BL,EWELL RD,  150 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,na,1400 INDEPENDENCE BL,73000.0,77000.0,fuzzy
17,SAT,NORFOLK AV,MEDITERRANEAN AV,Yes,DUSK,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,NORFOLK AV,11000.0,12000.0,fuzzy
20,TUE,2928 VIRGINIA BEACH BL,N PLAZA TRL,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,321,2928 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
4,THU,1100 OLD VIRGINIA RD,400 HERON LNDG,,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,ANGLE,3,NO,NO,na,1100 OLD VIRGINIA RD,39000.0,42000.0,fuzzy
19,FRI,2300 VIRGINIA BEACH BL,GREAT NECK RD N,,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,3,NO,NO,na,2300 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
17,WED,4600 BLK VIRGINIA BEACH BLVD,200 BLK INDEPENDENCE BLVD,Yes,DARKNESS-ROAD LIGHTED,MIST,WET,YES-WORKING,FOUR APPROACHES,PEDESTRIAN,1,NO,NO,na,4600 BLK VIRGINIA BEACH BLVD,73000.0,77000.0,fuzzy
18,FRI,3500 HOLLAND RD,CHANTRY DR,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,3500 HOLLAND RD,36000.0,38000.0,fuzzy
1,SUN,4600 COLUMBUS ST,100 INDEPENDENCE BL,   20 Feet From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,OTHER,1,NO,NO,na,4600 COLUMBUS ST,15000.0,16000.0,fuzzy
1,THU,400 20TH ST,2000 ARCTIC AV,Yes,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,YES,na,400 20TH ST,16000.0,26000.0,fuzzy
10,THU,1200 BLK BAKER ROAD,5700 BLK NORTHHAMPTON BLVD,   20 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,BACKED INTO,2,NO,NO,na,1200 BLK BAKER ROAD,5000.0,5400.0,fuzzy
7,THU,VIRGINIA BEACH BL,PLAZA TL N,Yes,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
6,WED,INDEPENDENCE BL,FIVE FORKS RD,  200 Feet From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,INDEPENDENCE BL,73000.0,77000.0,exact
16,WED,4700 HAYGOOD RD,FERRY PLANTATION RD,Yes,DUSK,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,328,4700 HAYGOOD RD,15000.0,17000.0,fuzzy
14,TUE,4200 BONNEY RD,BUDDING AV S,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,3,NO,NO,322,4200 BONNEY RD,12000.0,13000.0,fuzzy
17,WED,1808 DIAMOND SPRINGS RD,ARAGON DR,Yes,DARKNESS-ROAD LIGHTED,MIST,WET,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,326,1808 DIAMOND SPRINGS RD,22000.0,23000.0,fuzzy
16,TUE,4100 BONNEY RD,BOGGS AV S,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,322,4100 BONNEY RD,12000.0,13000.0,fuzzy
15,WED,1043 INDEPENDENCE BL,HONEYGROVE RD E,  300 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,2,NO,NO,328,1043 INDEPENDENCE BL,73000.0,77000.0,fuzzy
18,SAT,5527 CAMPUS DR,5500 OLD GUARD CRES,,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,326,5527 CAMPUS DR,6700.0,7200.0,fuzzy
17,FRI,600 BLOCK LYNNHAVEN PARKWAY,GUARDIAN LANE,00.25 Miles From,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,3,NO,NO,na,600 BLOCK LYNNHAVEN PARKWAY,46000.0,50000.0,fuzzy
14,WED,3192 WINTERBERRY LN,CRESTWOOD LANE,00.40 Miles From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,FIXED OBJECT-OFF ROAD,1,NO,NO,na,3192 WINTERBERRY LN,1900.0,2000.0,fuzzy
14,WED,NEWTOWN RD,PACA LA,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,THREE APPROACHES,ANGLE,0,NO,NO,na,NEWTOWN RD,39000.0,42000.0,exact
13,THU,SHORE DR,STRATFORD RD E,  150 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,NOT AT INTERSECTION,REAR END,0,NO,NO,na,SHORE DR,9600.0,10000.0,fuzzy
8,SUN,5500 WESLEYAN DR,900 DIAMOND SPRINGS RD,   50 Feet From,DAYLIGHT,RAIN,WET,YES-WORKING,FOUR APPROACHES,REAR END,0,NO,NO,na,5500 WESLEYAN DR,20000.0,21000.0,fuzzy
23,TUE,4084 ELBOW RD,WALPOLE RD,  300 Feet From,DARKNESS-ROAD NOT LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,REAR END,2,NO,NO,na,4084 ELBOW RD,12000.0,12000.0,fuzzy
20,FRI,5600 PRINCESS ANNE RD,5600 COMANCHE RD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,5600 PRINCESS ANNE RD,20000.0,22000.0,fuzzy
19,SAT,5100 BLOCK PRINCESS ANNE ROAD,500 BLOCK KEMPSVILLE ROAD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,5100 BLOCK PRINCESS ANNE ROAD,20000.0,22000.0,fuzzy
16,FRI,4700 OPEN GREENS DR,KEMPSVILLE GREENS PW,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,THREE APPROACHES,HEAD ON,2,NO,NO,na,4700 OPEN GREENS DR,20000.0,21000.0,fuzzy
12,THU,655 SOUTH ROSEMONT RD,FOREST GLEN RD,   20 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,FOUR APPROACHES,ANGLE,2,YES-WITH SCHOOL ACTIVITY,NO,na,655 SOUTH ROSEMONT RD,30000.0,32000.0,fuzzy
19,FRI,2400 LYNNHAVEN PKWY,4200 PLEASANT VALLEY RD,Yes,DARKNESS-ROAD LIGHTED,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,2400 LYNNHAVEN PKWY,46000.0,50000.0,fuzzy
